Unnamed: 0,出口总额：百万美元：月度：日本
区域,日本
次国家,
频率,月
单位,百万美元
数据来源,CEIC Data
状态,继续
数列ID,414259367
SR码,SR197160897
贸易代码,
助记符,
函数说明,
首次观测日期,01/1957
最后观测日期,01/2024
最后更新时间,28/02/2024
数列备注,"1. CEIC converts monthly Total Exports into USD.
2. The Ministry of Finance provides Total Exports, FOB, in local currency. Federal Reserve Board average market exchange rate is used for currency conversions.
3. Total Exports prior to January 1978 is sourced from the International Monetary Fund."
建议,
平均,27476.290474068544
方差,552991101.2570872
标准差,23515.76282532819
偏度,0.3400427326450042
峰度,-1.3200871549334399
变异系数,0.8558565373852702
最小,168.88888872
最大,77788.45391083
中位数,24326.88237011
总和 SUM,22118413.83162516
减 SUBTRACT,-77619.56502211
参照期间,805
01/1957,168.88888872
02/1957,213.33333312
03/1957,274.16666639
04/1957,224.44444422
05/1957,236.94444421
06/1957,209.72222201
07/1957,250.83333308
08/1957,257.49999974
09/1957,259.16666641
10/1957,225.27777755
11/1957,235.8333331
12/1957,301.94444414
01/1958,177.7777776
02/1958,241.9444442
03/1958,287.22222194
04/1958,221.38888867
05/1958,231.38888866
06/1958,227.49999977
07/1958,231.11111088
08/1958,226.94444422
09/1958,229.99999977
10/1958,256.94444419
11/1958,237.22222199
12/1958,303.33333303
01/1959,174.44444427
02/1959,275.2777775
03/1959,278.88888861
04/1959,261.11111085
05/1959,277.7777775
06/1959,272.77777751
07/1959,299.72222192
08/1959,301.38888859
09/1959,282.7777775
10/1959,345.55555521
11/1959,292.49999971
12/1959,394.16666627
01/1960,217.77777756
02/1960,318.05555524
03/1960,348.88888854
04/1960,310.83333302
05/1960,311.38888858
06/1960,337.22222189
07/1960,339.44444411
08/1960,341.11111077
09/1960,368.05555519
10/1960,352.77777743
11/1960,366.6666663
12/1960,442.49999956
01/1961,260.83333307
02/1961,314.72222191
03/1961,370.83333296
04/1961,346.38888854
05/1961,327.77777745
06/1961,341.38888855
07/1961,362.49999964
08/1961,362.22222186
09/1961,354.99999965
10/1961,354.44444409
11/1961,358.0555552
12/1961,481.38888841
01/1962,251.11111086
02/1962,373.88888852
03/1962,407.22222182
04/1962,353.88888854
05/1962,426.11111069
06/1962,410.27777737
07/1962,437.77777734
08/1962,423.05555513
09/1962,449.444444
10/1962,442.22222178
11/1962,397.77777738
12/1962,543.33333279
01/1963,291.94444415
02/1963,386.94444406
03/1963,446.66666622
04/1963,444.72222178
05/1963,412.77777737
06/1963,431.66666624
07/1963,449.444444
08/1963,492.49999951
09/1963,476.94444397
10/1963,506.66666616
11/1963,470.27777731
12/1963,641.66666603
01/1964,312.49999969
02/1964,456.94444399
03/1964,539.99999946
04/1964,513.88888838
05/1964,514.16666615
06/1964,544.99999946
07/1964,597.4999994
08/1964,561.94444388
09/1964,569.44444388
10/1964,667.77777711
11/1964,608.6111105
12/1964,785.27777699
01/1965,443.88888845
02/1965,644.72222158
03/1965,734.44444371
04/1965,685.83333265
05/1965,701.11111041
06/1965,719.16666595
07/1965,758.61111035
08/1965,766.6666659
09/1965,705.27777707
10/1965,743.05555481
11/1965,693.61111042
