Unnamed: 0,出口总额：百万美元：月度：中国香港特别行政区
区域,中国香港特别行政区
次国家,
频率,月
单位,百万美元
数据来源,CEIC Data
状态,继续
数列ID,211243202 (HJAAAAAAD)
SR码,SR197160807
贸易代码,
助记符,
函数说明,
首次观测日期,01/1957
最后观测日期,01/2024
最后更新时间,28/02/2024
数列备注,"1. CEIC converts monthly Total Exports into USD.
2. Census and Statistics Department provides Total Exports, FOB, in local currency. Federal Reserve Board average market exchange rate is used for currency conversions."
建议,
平均,14417.90489885234
方差,265712320.89349127
标准差,16300.68467560462
偏度,0.8818347855677862
峰度,-0.5631796431541884
变异系数,1.1305862252498384
最小,35.87491031
最大,62766.24464675
中位数,6812.78273714
总和 SUM,11606413.44357612
减 SUBTRACT,-62730.36973644
参照期间,805
01/1957,53.37486656
02/1957,42.87489281
03/1957,49.69987575
04/1957,46.02488494
05/1957,44.62488844
06/1957,39.54990113
07/1957,41.999895
08/1957,36.57490856
09/1957,41.64989588
10/1957,45.32488669
11/1957,44.44988888
12/1957,41.64989588
01/1958,41.47489631
02/1958,41.29989675
03/1958,38.67490331
04/1958,42.87489281
05/1958,40.24989938
06/1958,41.12489719
07/1958,43.22489194
08/1958,41.12489719
09/1958,43.57489106
10/1958,46.54988363
11/1958,46.1998845
12/1958,56.69985825
01/1959,40.77489806
02/1959,35.87491031
03/1959,39.199902
04/1959,50.399874
05/1959,46.1998845
06/1959,45.84988538
07/1959,49.34987663
08/1959,46.37488406
09/1959,51.97487006
10/1959,55.82486044
11/1959,53.199867
12/1959,58.62485344
01/1960,53.72486569
02/1960,54.77486306
03/1960,61.94984513
04/1960,55.64986088
05/1960,61.599846
06/1960,51.7998705
07/1960,60.37484906
08/1960,57.57485606
09/1960,59.84985038
10/1960,56.17485956
11/1960,56.52485869
12/1960,58.799853
01/1961,60.37484906
02/1961,51.27487181
03/1961,55.29986175
04/1961,51.7998705
05/1961,55.12486219
06/1961,55.99986
07/1961,59.14985213
08/1961,60.37484906
09/1961,57.92485519
10/1961,60.72484819
11/1961,63.34984163
12/1961,56.52485869
01/1962,66.67483331
02/1962,53.72486569
03/1962,65.97483506
04/1962,54.77486306
05/1962,67.54983113
06/1962,59.67485081
07/1962,61.94984513
08/1962,65.44983638
09/1962,64.57483856
10/1962,73.14981713
11/1962,70.52482369
12/1962,64.04983988
01/1963,72.62481844
02/1963,64.399839
03/1963,66.49983375
04/1963,65.7998355
05/1963,78.92480269
06/1963,67.199832
07/1963,77.34980663
08/1963,70.17482456
09/1963,76.9998075
10/1963,82.24979438
11/1963,78.57480356
12/1963,72.62481844
01/1964,88.54977863
02/1964,76.47480881
03/1964,72.27481931
04/1964,87.84978038
05/1964,80.14979963
06/1964,82.07479481
07/1964,91.69977075
08/1964,78.22480444
09/1964,83.47479131
10/1964,89.24977688
11/1964,86.62478344
12/1964,95.54976113
01/1965,94.67476331
02/1965,85.04978738
03/1965,96.5997585
04/1965,83.47479131
05/1965,98.69975325
06/1965,88.89977775
07/1965,92.57476856
08/1965,93.44976638
09/1965,94.49976375
10/1965,106.74973313
11/1965,103.599741
12/1965,104.47473881
01/1966,101.67474581
02/1966,91.34977163
03/1966,103.599741
04/1966,89.42477644
05/1966,103.77474056
06/1966,102.72474319
07/1966,98.52475369
08/1966,118.12470469
09/1966,136.49965875
10/1966,133.87466531
11/1966,129.67467581
12/1966,114.27471431
01/1967,127.3996815
02/1967,126.17468456
03/1967,108.49972875
04/1967,113.57471606
05/1967,121.62469594
06/1967,130.54967363
07/1967,114.97471256
08/1967,126.34968413
