Unnamed: 0,出口总额：百万美元：月度：法国
区域,法国
次国家,
频率,月
单位,百万美元
数据来源,CEIC Data
状态,继续
数列ID,414259337
SR码,SR197160757
贸易代码,
助记符,
函数说明,
首次观测日期,01/2000
最后观测日期,12/2023
最后更新时间,07/02/2024
数列备注,"1. CEIC converts monthly Total Exports into USD.
2. The General Directorate of Customs and Excise provides Total Exports, FOB, in EUR. Federal Reserve Board average market exchange rate is used for currency conversions.
3. Total Exports includes Military Equipment."
建议,
平均,42460.20129927473
方差,86766924.93292525
标准差,9314.876538791335
偏度,-0.5443501434410258
峰度,-0.49622187739701173
变异系数,0.21937900089396054
最小,19855.58391264
最大,61105.07967492
中位数,44678.112103415
总和 SUM,12228537.974191122
减 SUBTRACT,-41249.49576228
参照期间,288
01/2000,23937.52682372
02/2000,25373.68683771
03/2000,28440.10000292
04/2000,23513.83647778
05/2000,26263.85279632
06/2000,26703.34709546
07/2000,24438.32815142
08/2000,19855.58391264
09/2000,24692.93042419
10/2000,26311.55995198
11/2000,26238.39117313
12/2000,25048.19716355
01/2001,25461.46562444
02/2001,26121.02838886
03/2001,28896.65628701
04/2001,23972.54998442
05/2001,24718.4720091
06/2001,25506.4060556
07/2001,24373.55790823
08/2001,20971.07100923
09/2001,24510.28017274
10/2001,28021.51489072
11/2001,25901.9396217
12/2001,21654.37750888
01/2002,23252.88953452
02/2002,23522.83111656
03/2002,25573.92842926
04/2002,26250.40803623
05/2002,25126.7170206
06/2002,27489.78717883
07/2002,29704.6563944
08/2002,21266.82827161
09/2002,27261.66048861
10/2002,30478.03445937
11/2002,27792.08273894
12/2002,27384.14213209
01/2003,28340.55818759
02/2003,28644.96008536
03/2003,31691.35436704
04/2003,30466.82366674
05/2003,29229.74648921
06/2003,32319.46900297
07/2003,32023.16059719
08/2003,22342.34942526
09/2003,32229.25334346
10/2003,36562.90811576
11/2003,32392.20218917
12/2003,34859.91071529
01/2004,33436.35662434
02/2004,33858.76802167
03/2004,38992.43221653
04/2004,34710.55292885
05/2004,32623.20013049
06/2004,38434.80231268
07/2004,36120.91675593
08/2004,26748.27322104
09/2004,36889.58707487
10/2004,39058.11033613
11/2004,39817.60945866
12/2004,38872.03739802
01/2005,35128.95867105
02/2005,37107.87065146
03/2005,41826.7754176
04/2005,38733.22198902
05/2005,37302.51625845
06/2005,39608.28276215
07/2005,34873.14403188
08/2005,29574.39283971
09/2005,40216.82807493
10/2005,37982.30686191
11/2005,38355.51136986
12/2005,37313.52002302
01/2006,37100.7097651
02/2006,37739.95191093
03/2006,44763.4045504
04/2006,38798.6348153
05/2006,42996.70239882
06/2006,45870.80287693
07/2006,40205.1106104
08/2006,33329.05820931
