Unnamed: 0,出口总额：百万美元：月度：美国
区域,美国
次国家,
频率,月
单位,百万美元
数据来源,CEIC Data
状态,继续
数列ID,414259457
SR码,SR197161517
贸易代码,
助记符,
函数说明,
首次观测日期,01/1989
最后观测日期,12/2023
最后更新时间,07/02/2024
数列备注,"The U.S. Census Bureau provides monthly Total Exports, FAS, in USD."
建议,
平均,89594.43809523809
方差,1756134928.1656106
标准差,41906.26359108636
偏度,0.2901506018229935
峰度,-1.1522560908006865
变异系数,0.46773286916025275
最小,27541
最大,184621
中位数,81635
总和 SUM,37629664
减 SUBTRACT,-157080
参照期间,420
01/1989,27541
02/1989,27927
03/1989,33243
04/1989,31052
05/1989,31496
06/1989,31822
07/1989,28709
08/1989,29406
09/1989,29709
10/1989,31757
11/1989,30280
12/1989,30875
01/1990,30670
02/1990,30960
03/1990,35970
04/1990,32620
05/1990,33540
06/1990,34480
07/1990,30740
08/1990,31720
09/1990,31450
10/1990,35300
11/1990,33270
12/1990,32890
01/1991,33160
02/1991,32770
03/1991,36810
04/1991,36130
05/1991,36020
06/1991,35480
07/1991,33450
08/1991,33630
09/1991,34400
10/1991,37900
11/1991,36970
12/1991,34990
01/1992,34514
02/1992,36898
03/1992,39817
04/1992,37154
05/1992,36737
06/1992,39094
07/1992,35979
08/1992,34838
09/1992,36811
10/1992,40115
11/1992,37670
12/1992,38537
01/1993,35958
02/1993,36070
03/1993,41999
04/1993,39420
05/1993,39870
06/1993,38624
07/1993,35465
08/1993,36876
09/1993,37956
10/1993,41148
11/1993,40294
12/1993,41412
01/1994,37561
02/1994,37126
03/1994,46139
04/1994,41587
05/1994,42215
06/1994,43425
07/1994,39218
08/1994,43589
09/1994,43766
10/1994,45314
11/1994,45674
12/1994,47013
01/1995,43633
02/1995,44999
03/1995,52579
04/1995,47808
05/1995,49855
06/1995,49393
07/1995,44390
08/1995,48972
09/1995,49723
10/1995,51828
11/1995,50710
12/1995,50853
01/1996,47767
02/1996,51112
03/1996,54952
04/1996,51872
05/1996,53359
06/1996,51821
07/1996,47598
08/1996,51575
09/1996,50598
10/1996,56107
11/1996,55016
12/1996,53295
01/1997,50591
02/1997,53153
03/1997,61201
04/1997,58180
05/1997,58738
06/1997,58049
07/1997,54909
08/1997,56662
09/1997,57470
10/1997,62402
11/1997,58164
12/1997,59664
01/1998,55172
02/1998,55234
03/1998,62297
04/1998,56675
05/1998,56672
06/1998,56994
07/1998,51577
08/1998,53420
09/1998,55627
10/1998,61313
11/1998,58395
12/1998,58762
01/1999,52436
02/1999,53279
03/1999,60889
04/1999,57283
05/1999,56489
06/1999,57825
07/1999,52998
08/1999,57439
09/1999,59431
10/1999,62973
11/1999,60948
12/1999,63808
01/2000,57679
02/2000,61179
03/2000,68948
04/2000,63302
05/2000,64673
06/2000,68002
07/2000,60029
08/2000,68255
09/2000,67391
10/2000,69635
11/2000,67614
12/2000,65211
01/2001,62161
02/2001,62743
03/2001,70358
04/2001,62015
05/2001,64931
06/2001,63333
07/2001,54611
08/2001,60111
09/2001,55232
10/2001,60701
11/2001,57900
12/2001,55003
01/2002,52667
02/2002,53061
03/2002,60728
04/2002,58146
05/2002,59884
06/2002,59920
07/2002,55032
08/2002,59491
09/2002,57277
10/2002,61975
11/2002,59671
12/2002,55249
01/2003,54854
02/2003,55917
03/2003,63524
04/2003,59162
05/2003,59983
06/2003,61570
07/2003,57070
08/2003,58611
